Week,Rank,Percentage,Rank + Judge Save,Percentage + Judge Save
S8W2,0.47533333333333333,1.0,0.016666666666666666,0.18866666666666668
S8W3,0.9773333333333334,1.0,0.30666666666666664,0.146
S8W4,0.648,1.0,0.14,0.074
S8W5,0.632,1.0,0.048666666666666664,0.14133333333333334
S8W6,0.9466666666666667,1.0,0.9966666666666667,1.0
S8W7,0.974,1.0,0.99,1.0
S8W8,0.994,1.0,0.13266666666666665,0.5413333333333333
S8W9,0.846,1.0,0.2753333333333333,0.6726666666666666
S8W10,0.9806666666666667,1.0,0.992,1.0
S9W1,0.9006666666666666,1.0,0.584,1.0
S9W2,0.9966666666666667,1.0,0.48733333333333334,1.0
S9W3,0.972,1.0,0.21533333333333332,0.362
S9W4,0.9053333333333333,1.0,0.492,0.42866666666666664
S9W5,0.9953333333333333,1.0,0.5126666666666667,0.8506666666666667
S9W6,0.762,1.0,0.2773333333333333,0.36866666666666664
S9W7,0.8253333333333334,1.0,0.356,0.488
S9W8,1.0,1.0,0.532,1.0
S9W9,0.68,1.0,0.0,0.13066666666666665
S10W2,0.6493333333333333,1.0,0.007333333333333333,0.10266666666666667
S10W3,0.928,1.0,0.9826666666666667,1.0
S10W4,0.9913333333333333,1.0,0.466,0.6013333333333334
S10W5,0.8806666666666667,1.0,0.9966666666666667,1.0
S10W6,0.9673333333333334,1.0,1.0,1.0
S10W7,0.7413333333333333,1.0,0.05466666666666667,0.622
S10W8,0.9973333333333333,1.0,0.996,1.0
S10W9,0.994,1.0,0.994,1.0
S11W1,1.0,1.0,0.31466666666666665,1.0
S11W2,0.752,1.0,0.934,1.0
S11W3,0.978,1.0,0.998,1.0
S11W4,0.9593333333333334,1.0,0.9933333333333333,1.0
S11W5,0.8966666666666666,1.0,0.14133333333333334,0.23533333333333334
S11W6,0.004,1.0,0.0,0.006666666666666667
S11W7,0.5453333333333333,1.0,0.023333333333333334,0.36533333333333334
S11W8,0.8966666666666666,1.0,0.14533333333333334,0.5026666666666667
S11W9,0.9853333333333333,1.0,0.008,0.584
S12W2,0.9553333333333334,1.0,0.362,1.0
S12W3,0.884,1.0,0.988,1.0
S12W4,0.974,1.0,0.5186666666666667,0.5593333333333333
S12W5,0.754,1.0,0.16,1.0
S12W6,0.9226666666666666,1.0,0.9993333333333333,1.0
S12W7,0.4066666666666667,1.0,0.017333333333333333,0.43666666666666665
S12W8,0.7713333333333333,1.0,0.32866666666666666,0.502
S12W9,0.992,1.0,0.994,1.0
S13W1,0.9406666666666667,1.0,0.988,1.0
S13W2,0.5806666666666667,1.0,0.0,0.22733333333333333
S13W3,0.16,1.0,0.02266666666666667,0.23
S13W4,0.9993333333333333,1.0,0.078,0.7526666666666667
S13W5,0.9726666666666667,1.0,0.9893333333333333,1.0
S13W6,0.9826666666666667,1.0,0.9993333333333333,1.0
S13W7,1.0,1.0,0.19466666666666665,0.5393333333333333
S13W8,0.9586666666666667,1.0,0.996,1.0
S13W9,0.874,1.0,0.998,1.0
S14W2,0.9086666666666666,1.0,0.9866666666666667,1.0
S14W3,1.0,1.0,0.07,1.0
S14W4,0.98,1.0,0.534,0.7166666666666667
S14W5,0.8953333333333333,1.0,0.9913333333333333,1.0
S14W6,0.8846666666666667,1.0,0.9866666666666667,1.0
S14W7,0.9986666666666667,1.0,0.28933333333333333,0.568
S14W8,0.998,1.0,1.0,1.0
S14W9,0.0,1.0,0.0,0.0
S15W1,0.9093333333333333,1.0,0.9873333333333333,1.0
S15W2,0.32666666666666666,1.0,0.018,0.2633333333333333
S15W3,0.736,1.0,0.12533333333333332,0.708
S15W4,0.8433333333333334,1.0,0.374,0.4653333333333333
S15W6,0.002,1.0,0.0,0.026
S15W8,0.992,1.0,0.9953333333333333,1.0
S15W9,0.9953333333333333,1.0,1.0,1.0
S16W1,0.0,1.0,0.0,0.01
S16W3,0.892,1.0,0.9873333333333333,1.0
S16W4,0.902,1.0,0.736,1.0
S16W5,0.9846666666666667,1.0,0.568,1.0
S16W6,0.9813333333333333,1.0,0.9953333333333333,1.0
