Week,Rank,Percentage,Rank + Judge Save,Percentage + Judge Save
S7W9,0.9986666666666667,1.0,0.9993333333333333,1.0
S8W1,0.9633333333333334,1.0,0.5406666666666666,0.4613333333333333
S8W2,0.5473333333333333,1.0,0.020666666666666667,0.18066666666666667
S8W3,0.9826666666666667,1.0,0.30933333333333335,0.15866666666666668
S8W4,0.6053333333333333,1.0,0.11733333333333333,0.06466666666666666
S8W5,0.7073333333333334,1.0,0.07333333333333333,0.182
S8W6,0.94,1.0,0.998,1.0
S8W7,0.962,1.0,0.9846666666666667,1.0
S8W8,0.9946666666666667,1.0,0.13466666666666666,0.5326666666666666
S8W9,0.854,1.0,0.2773333333333333,0.6953333333333334
S8W10,0.9873333333333333,1.0,0.9946666666666667,1.0
S9W1,0.8866666666666667,1.0,0.5913333333333334,1.0
S9W2,0.998,1.0,0.47,1.0
S9W3,0.9726666666666667,1.0,0.20466666666666666,0.37933333333333336
S9W4,0.8946666666666667,1.0,0.41733333333333333,0.372
S9W5,0.994,1.0,0.4673333333333333,0.8453333333333334
S9W6,0.7726666666666666,1.0,0.31,0.406
S9W7,0.8206666666666667,1.0,0.372,0.49733333333333335
S9W8,1.0,1.0,0.5906666666666667,1.0
S9W9,0.75,1.0,0.0,0.16666666666666666
S10W2,0.6453333333333333,1.0,0.008,0.10333333333333333
S10W3,0.9433333333333334,1.0,0.9873333333333333,1.0
S10W4,0.9906666666666667,1.0,0.38866666666666666,0.5133333333333333
S10W5,0.882,1.0,0.9966666666666667,1.0
S10W6,0.9653333333333334,1.0,1.0,1.0
S10W7,0.656,1.0,0.03133333333333333,0.5406666666666666
S10W8,0.9986666666666667,1.0,0.9973333333333333,1.0
S10W9,0.9933333333333333,1.0,0.9913333333333333,1.0
S11W1,0.9993333333333333,1.0,0.308,1.0
S11W2,0.7206666666666667,1.0,0.9206666666666666,1.0
S11W3,0.98,1.0,0.9953333333333333,1.0
S11W4,0.9653333333333334,1.0,0.996,1.0
